contrast_0;dissimilarity_0;homogeneity_0;energy_0;correlation_0;contrast_45;dissimilarity_45;homogeneity_45;energy_45;correlation_45;contrast_90;dissimilarity_90;homogeneity_90;energy_90;correlation_90;contrast_135;dissimilarity_135;homogeneity_135;energy_135;correlation_135;Label
23.09285396;3.266410256;0.297996918;0.023407777;0.993003817;44.04390331;4.578550575;0.229380638;0.02001139;0.986632386;25.52153846;3.528004459;0.284936827;0.022626351;0.992254899;43.81192604;4.572901869;0.228799409;0.019865313;0.986702538;1
26.85752508;3.549409142;0.290407622;0.019587569;0.996801851;62.09205714;5.319224617;0.221155647;0.016490564;0.992606674;41.37843924;4.315050167;0.269242321;0.018503559;0.995071498;61.4319974;5.300030201;0.224296259;0.016587642;0.992685233;1
4.204102564;1.371192865;0.525610461;0.058558534;0.995610755;8.407478664;1.97600698;0.427997151;0.049689093;0.991179616;5.657335563;1.59115942;0.491536061;0.05487834;0.994090002;9.044003982;2.049854028;0.417998124;0.048561801;0.990512794;1
51.83960981;3.696889632;0.329799073;0.028077145;0.988715166;78.44444693;4.754465834;0.276094429;0.024639522;0.982868657;42.85476031;3.468561873;0.337881957;0.027644831;0.990715654;85.58468026;4.863256563;0.269545418;0.024233592;0.98130929;1
12.74248606;2.298985507;0.401757454;0.033511873;0.995098014;27.75869397;3.29890046;0.319976651;0.028499051;0.98927503;18.74396878;2.651460424;0.384208443;0.03197275;0.992774363;28.96476549;3.42878715;0.31348245;0.0279464;0.988809314;1
9.531884058;1.440981048;0.548681837;0.043248583;0.995949043;35.73852641;2.272681514;0.461182178;0.038020389;0.984690618;29.57526198;1.686075808;0.57049431;0.045434164;0.987361204;33.95636514;2.216943882;0.458672989;0.037643165;0.985454141;1
5.961438127;1.704626533;0.461333277;0.047200379;0.996483812;14.62428832;2.660708493;0.349327916;0.038606168;0.99138924;11.78561873;2.26909699;0.407057179;0.043047997;0.993064579;16.90963188;2.775427568;0.348900092;0.038762518;0.990043695;1
14.55615385;1.917112598;0.526302278;0.171825871;0.997609254;68.18254829;3.293251753;0.449458951;0.16371264;0.988769081;54.80389075;2.37780379;0.551981288;0.166750036;0.990980599;63.47587835;3.038702028;0.460138292;0.164063068;0.989544359;1
9.761995541;2.143221851;0.416046273;0.023605106;0.999114721;22.54426684;3.224102639;0.316360886;0.019282322;0.997948208;15.07906355;2.598729097;0.367438862;0.021329245;0.998626996;21.25493003;3.133947048;0.320770068;0.019593813;0.998065544;1
41.79071349;2.062575251;0.473757703;0.035431499;0.991165486;79.24927014;2.97983244;0.41182722;0.03225729;0.983207498;55.12394649;2.214358974;0.507140148;0.036995104;0.988326109;81.96850147;3.025312916;0.396316089;0.031716768;0.982631585;1
3.028584169;1.061716834;0.623146299;0.075375366;0.997541775;6.183957674;1.511772799;0.542704213;0.066752494;0.994979998;4.417658863;1.204303233;0.612955443;0.07729425;0.996406466;7.163734186;1.634579032;0.524258283;0.065551791;0.994184548;1
24.65546265;3.533322185;0.280023771;0.019643866;0.996927537;59.2574356;5.359716334;0.210979333;0.01649037;0.992604913;44.78826087;4.611627648;0.242433857;0.017947387;0.994418536;64.54242123;5.599590609;0.205106452;0.016303689;0.991945475;1
5.865629877;1.541415831;0.519551394;0.076694938;0.992486293;14.18833123;2.309470811;0.42491806;0.065015417;0.981813717;9.941025641;1.890479376;0.489030081;0.073418026;0.987256451;13.05666603;2.273878368;0.422317755;0.064736802;0.983264;1
27.29665552;3.106354515;0.345691704;0.027718817;0.993492246;48.77244102;4.363407568;0.261274013;0.023426401;0.988338579;26.72623188;3.164069119;0.343190897;0.027458277;0.993604663;48.92581738;4.315242559;0.266250645;0.023709878;0.988301685;1
13.66729097;2.137971014;0.456482572;0.047606295;0.994420817;23.2699075;2.89982215;0.383257112;0.040851894;0.990492195;15.56762542;2.341270903;0.443358644;0.045648582;0.993658652;28.66131251;3.15647476;0.366288535;0.040157266;0.988289307;1
20.11557414;2.757335563;0.416492264;0.034297949;0.996203528;37.5920851;3.77476762;0.346070624;0.029116952;0.992902742;24.75955407;2.984793757;0.41349953;0.033772932;0.995315825;41.65093232;3.937125983;0.347513341;0.029618215;0.992136428;1
